       beta         gamma
     0.800000      1.66667
     0.801005      1.67039
     0.802009      1.67413
     0.803014      1.67791
     0.804018      1.68172
     0.805023      1.68556
     0.806027      1.68943
     0.807032      1.69333
     0.808036      1.69727
     0.809041      1.70123
     0.810045      1.70523
     0.811050      1.70927
     0.812054      1.71333
     0.813059      1.71744
     0.814063      1.72157
     0.815068      1.72574
     0.816072      1.72995
     0.817077      1.73419
     0.818081      1.73847
     0.819086      1.74279
     0.820090      1.74714
     0.821095      1.75153
     0.822100      1.75596
     0.823104      1.76044
     0.824109      1.76495
     0.825113      1.76950
     0.826118      1.77409
     0.827122      1.77872
     0.828127      1.78340
     0.829131      1.78811
     0.830136      1.79288
     0.831140      1.79768
     0.832145      1.80253
     0.833149      1.80743
     0.834154      1.81237
     0.835158      1.81736
     0.836163      1.82239
     0.837167      1.82748
     0.838172      1.83261
     0.839176      1.83779
     0.840181      1.84302
     0.841185      1.84831
     0.842190      1.85365
     0.843194      1.85903
     0.844199      1.86448
     0.845204      1.86998
     0.846208      1.87553
     0.847213      1.88114
     0.848217      1.88681
     0.849222      1.89253
     0.850226      1.89832
     0.851231      1.90416
     0.852235      1.91007
     0.853240      1.91604
     0.854244      1.92207
     0.855249      1.92816
     0.856253      1.93433
     0.857258      1.94056
     0.858262      1.94685
     0.859267      1.95322
     0.860271      1.95965
     0.861276      1.96616
     0.862280      1.97274
     0.863285      1.97940
     0.864289      1.98613
     0.865294      1.99294
     0.866298      1.99982
     0.867303      2.00679
     0.868308      2.01384
     0.869312      2.02097
     0.870317      2.02818
     0.871321      2.03549
     0.872326      2.04288
     0.873330      2.05036
     0.874335      2.05793
     0.875339      2.06559
     0.876344      2.07335
     0.877348      2.08121
     0.878353      2.08916
     0.879357      2.09722
     0.880362      2.10538
     0.881366      2.11365
     0.882371      2.12202
     0.883375      2.13050
     0.884380      2.13910
     0.885384      2.14781
     0.886389      2.15664
     0.887393      2.16558
     0.888398      2.17465
     0.889403      2.18385
     0.890407      2.19317
     0.891412      2.20263
     0.892416      2.21222
     0.893421      2.22194
     0.894425      2.23181
     0.895430      2.24182
     0.896434      2.25198
     0.897439      2.26229
     0.898443      2.27275
     0.899448      2.28337
     0.900452      2.29416
     0.901457      2.30511
     0.902461      2.31623
     0.903466      2.32753
     0.904470      2.33900
     0.905475      2.35067
     0.906479      2.36252
     0.907484      2.37456
     0.908488      2.38680
     0.909493      2.39926
     0.910497      2.41192
     0.911502      2.42479
     0.912507      2.43789
     0.913511      2.45122
     0.914516      2.46479
     0.915520      2.47860
     0.916525      2.49266
     0.917529      2.50697
     0.918534      2.52156
     0.919538      2.53641
     0.920543      2.55155
     0.921547      2.56698
     0.922552      2.58271
     0.923556      2.59875
     0.924561      2.61511
     0.925565      2.63181
     0.926570      2.64884
     0.927574      2.66623
     0.928579      2.68399
     0.929583      2.70212
     0.930588      2.72065
     0.931592      2.73958
     0.932597      2.75894
     0.933601      2.77873
     0.934606      2.79898
     0.935611      2.81970
     0.936615      2.84091
     0.937620      2.86263
     0.938624      2.88488
     0.939629      2.90768
     0.940633      2.93105
     0.941638      2.95503
     0.942642      2.97962
     0.943647      3.00487
     0.944651      3.03080
     0.945656      3.05745
     0.946660      3.08483
     0.947665      3.11300
     0.948669      3.14198
     0.949674      3.17182
     0.950678      3.20256
     0.951683      3.23425
     0.952687      3.26693
     0.953692      3.30065
     0.954696      3.33548
     0.955701      3.37148
     0.956706      3.40871
     0.957710      3.44723
     0.958715      3.48714
     0.959719      3.52851
     0.960724      3.57143
     0.961728      3.61600
     0.962733      3.66234
     0.963737      3.71056
     0.964742      3.76078
     0.965746      3.81316
     0.966751      3.86784
     0.967755      3.92501
     0.968760      3.98486
     0.969764      4.04759
     0.970769      4.11345
     0.971773      4.18271
     0.972778      4.25567
     0.973782      4.33266
     0.974787      4.41408
     0.975791      4.50035
     0.976796      4.59199
     0.977800      4.68957
     0.978805      4.79376
     0.979810      4.90533
     0.980814      5.02519
     0.981819      5.15444
     0.982823      5.29434
     0.983828      5.44647
     0.984832      5.61267
     0.985837      5.79528
     0.986841      5.99717
     0.987846      6.22199
     0.988850      6.47443
     0.989855      6.76062
     0.990859      7.08882
     0.991864      7.47041
     0.992868      7.92155
     0.993873      8.46639
     0.994877      9.14245
     0.995882      10.0125
     0.996886      11.1916
     0.997891      12.9197
     0.998895      15.8194
     0.999900      22.3665
