r = 1
dens = 7
err = 8
  meanr                                          dens   denserr
  32.48  0.0862  0.0012  34.00  0.0379  0.0008  0.0483  0.0015   4895
  70.32  0.0674  0.0007  70.96  0.0374  0.0005  0.0299  0.0009   8901
 109.32  0.0583  0.0005 109.60  0.0380  0.0004  0.0203  0.0007  12092
 148.41  0.0560  0.0004 148.58  0.0378  0.0004  0.0183  0.0006  15834
 187.61  0.0528  0.0004 187.71  0.0380  0.0003  0.0147  0.0005  18883
 226.79  0.0496  0.0003 226.90  0.0378  0.0003  0.0117  0.0004  21488
 266.15  0.0496  0.0003 266.22  0.0377  0.0003  0.0119  0.0004  25225
 305.45  0.0478  0.0003 305.40  0.0377  0.0003  0.0102  0.0004  27923
 344.62  0.0476  0.0003 344.68  0.0379  0.0002  0.0097  0.0004  31380
 384.06  0.0466  0.0003 383.93  0.0377  0.0002  0.0089  0.0003  34240
 423.41  0.0452  0.0002 423.35  0.0380  0.0002  0.0072  0.0003  36596
 462.49  0.0452  0.0002 462.64  0.0376  0.0002  0.0076  0.0003  40016
 501.82  0.0445  0.0002 502.00  0.0376  0.0002  0.0069  0.0003  42734
 541.17  0.0438  0.0002 541.12  0.0374  0.0002  0.0063  0.0003  45313
 580.45  0.0439  0.0002 580.59  0.0375  0.0002  0.0064  0.0003  48809
#  32.46  0.0853  0.0012  33.58  0.0357  0.0008  0.0495  0.0015   4840
#  70.29  0.0665  0.0007  70.73  0.0369  0.0005  0.0297  0.0009   8786
# 109.32  0.0571  0.0005 109.34  0.0373  0.0004  0.0198  0.0007  11834
# 148.41  0.0545  0.0004 148.64  0.0369  0.0004  0.0176  0.0006  15406
# 187.58  0.0510  0.0004 187.55  0.0373  0.0003  0.0138  0.0005  18268
# 226.78  0.0476  0.0003 226.97  0.0364  0.0003  0.0112  0.0004  20612
# 266.16  0.0475  0.0003 266.39  0.0364  0.0003  0.0111  0.0004  24124
# 305.43  0.0455  0.0003 305.47  0.0362  0.0002  0.0092  0.0004  26528
# 344.60  0.0450  0.0003 344.68  0.0363  0.0002  0.0087  0.0004  29676
# 384.02  0.0439  0.0002 383.75  0.0359  0.0002  0.0080  0.0003  32240
# 423.45  0.0424  0.0002 423.20  0.0356  0.0002  0.0068  0.0003  34312
# 462.46  0.0424  0.0002 462.70  0.0353  0.0002  0.0071  0.0003  37516
# 501.83  0.0415  0.0002 501.86  0.0350  0.0002  0.0065  0.0003  39806
# 541.15  0.0409  0.0002 541.25  0.0354  0.0002  0.0054  0.0003  42296
# 580.43  0.0411  0.0002 580.58  0.0353  0.0002  0.0058  0.0003  45640
