
#This is for a[1] =  -0.72 and normalisation of a[0]= 0.621.
#and sigv=175 km/s, cutoff=250 arcsec
#     meanr       neighborshear
   
      33.1672      0.0001188
      70.7635       0.000153  
      109.445     0.0001703 
      148.455     0.0001797
      187.661     0.0001843 
      226.879      0.0001859 
      266.117   0.0001855 
      305.420       0.0001838
      344.690       0.0001812
      383.994     0.0001782
      423.294    0.0001748 
     462.607     0.0001712 
      501.900     0.0001676 
      541.224     0.000164
      580.552     0.0001605 


